id_no,read_fs
3,0.696
4,-0.226
7,-1.726
8,0.791
9,-0.352
12,-0.659
15,-0.406
17,-0.222
22,0.388
27,-0.426
28,0.032
29,-0.472
30,-1.776
31,-1.506
34,1.147
40,0.657
41,-0.385
43,-0.072
45,0.041
52,-0.53
54,-1.156
55,-1.139
59,-0.065
63,0.598
69,-0.336
70,0.842
71,1.191
76,-0.77
77,0.559
79,0.745
89,-1.153
94,0.994
99,-0.236
100,-0.007
102,0.585
103,0.655
105,0.656
107,0.937
108,-0.179
109,0.262
111,0.661
115,1.175
121,0.194
122,1.591
126,1.291
132,-0.593
133,0.561
134,-0.075
137,-0.066
139,-1.995
143,-0.383
144,0.475
145,-0.522
151,-0.214
152,0.079
158,-0.725
159,-0.162
165,-0.372
166,-0.831
167,0.93
169,-0.232
171,0.439
176,0.546
178,0.352
182,-0.597
183,-0.312
186,-0.14
189,-0.004
191,0.099
192,1.032
194,-0.784
195,1.097
196,0.685
199,-0.054
200,0.265
202,-1.391
203,-1.399
206,0.383
209,1.059
212,-0.035
